id,grand_domaine,domaine,sous_domaine,theme,question_scientifique,reference_courte,reference_complete,doi,annee,type_publication,journal,url,niveau_preuve,sources_triangulation,citations_google_scholar,citations_crossref,citations_openalex,citations_semantic_scholar,citations_web_of_science,date_releve_citations,altmetric_score,peer_reviewed,open_access,data_open,code_open,preregistration,sample_size,sample_type,study_design,consensus_actuel,gap_actuel,last_gap,trust_factor,trust_niveau,trust_justification,tags,relations,date_ajout,date_mise_a_jour,ajoute_par,notes_internes
karlen2023_teachers_as_learners_a,Psychologie,Psychologie cognitive,Métacognition,Teachers as learners and agents of self-regulated learning: The importance of different teachers competence aspects for ,"Que montre « Teachers as learners and agents of self-regulated learning: The importance of different teachers competence aspects for promoting metacognit » concernant « métacognition et apprentissage autorégulé », et quel est le niveau de confiance de cette contribution ?",Yves Karlen et al. 2023,"Yves Karlen, Carmen Nadja Hirt, Johannes Jud, Amina Rosenthal, Tabea Daria Eberli (2023). Teachers as learners and agents of self-regulated learning: The importance of different teachers competence aspects for promoting metacognition. Teaching and Teacher Education. https://doi.org/10.1016/j.tate.2023.104055",10.1016/j.tate.2023.104055,2023,article_empirique,Teaching and Teacher Education,https://doi.org/10.1016/j.tate.2023.104055,modere,OpenAlex+Crossref+doi.org,,,118,,,2026-09-07,,TRUE,TRUE,FALSE,FALSE,FALSE,185,,correlationnel,"The results reveal positive direct relationships between teachers' knowledge, self-efficacy, intrinsic interest value and the promotion of metacognition.",Gap non identifiable dans l'abstract — lecture du texte intégral requise (mode LLM recommandé).,À confirmer sur texte intégral,63,eleve,"M=21/30 (design correlationnel=5, N>100=10, validité modere=6); R=14/20 (citations 118>100=10, convergence article_empirique=4); O=5/20 (OA=5, data=FALSE, code=FALSE, prereg=FALSE); C=8/15 (partiel); T=15/15 (Q1 + DOI + url); P=-0 (aucune); brut 63 → trust 63","teachers, metacognition, self-regulated, competence, promotion, learners",,2026-09-07,2026-09-07,agent_litteraire_v1,Mode analyse: heuristique; abstract_tronque: non; maturite application: n/a
hertel2020_implicit_theories_of_s,Psychologie,Psychologie cognitive,Métacognition,"Implicit theories of self-regulated learning: Interplay with students' achievement goals, learning strategies, and metac","Que montre « Implicit theories of self-regulated learning: Interplay with students' achievement goals, learning strategies, and metacognition » concernant « métacognition et apprentissage autorégulé », et quel est le niveau de confiance de cette contribution ?",Silke Hertel & Karlen 2020,"Silke Hertel, Yves Karlen (2020). Implicit theories of self-regulated learning: Interplay with students' achievement goals, learning strategies, and metacognition. British Journal of Educational Psychology. https://doi.org/10.1111/bjep.12402",10.1111/bjep.12402,2020,article_empirique,British Journal of Educational Psychology,https://doi.org/10.1111/bjep.12402,modere,OpenAlex+Crossref+doi.org,,,66,,,2026-09-07,,TRUE,TRUE,FALSE,FALSE,FALSE,254,,correlationnel,RESULTS: The two postulated dimensions of implicit theories of SRL were supported.,"Thus, further research on SRL should consider domain-specific implicit theories of SRL in addition to implicit theories of INT.",À confirmer sur texte intégral,60,eleve,"M=21/30 (design correlationnel=5, N>100=10, validité modere=6); R=11/20 (citations 66 (50-100)=7, convergence article_empirique=4); O=5/20 (OA=5, data=FALSE, code=FALSE, prereg=FALSE); C=8/15 (partiel); T=15/15 (Q1 + DOI + url); P=-0 (aucune); brut 60 → trust 60","implicit, theories, students, learning, achievement, goals",,2026-09-07,2026-09-07,agent_litteraire_v1,Mode analyse: heuristique; abstract_tronque: non; maturite application: n/a
braad2022_improving_metacognitio,Psychologie,Psychologie cognitive,Métacognition,Improving metacognition through self-explication in a digital self-regulated learning tool,"Que montre « Improving metacognition through self-explication in a digital self-regulated learning tool » concernant « métacognition et apprentissage autorégulé », et quel est le niveau de confiance de cette contribution ?",Eelco Braad 2022,Eelco Braad (2022). Improving metacognition through self-explication in a digital self-regulated learning tool. Educational Technology Research and Development. https://doi.org/10.1007/s11423-022-10156-2,10.1007/s11423-022-10156-2,2022,article_empirique,Educational Technology Research and Development,https://doi.org/10.1007/s11423-022-10156-2,modere_eleve,OpenAlex+Crossref+doi.org,,,27,,,2026-09-07,,TRUE,TRUE,FALSE,FALSE,FALSE,,,quasi_experimental,Digital support during self-regulated learning can improve metacognitive knowledge and skills in learners. Previous research has predominantly focused on embedding metacognitive support in domain-specific content. In thi,Gap non identifiable dans l'abstract — lecture du texte intégral requise (mode LLM recommandé).,À confirmer sur texte intégral,57,modere,"M=21/30 (design quasi_experimental=8, N non déterminé (hyp. 30-100)=7, validité modere=6); R=8/20 (citations 27 (10-50)=4, convergence article_empirique=4); O=5/20 (OA=5, data=FALSE, code=FALSE, prereg=FALSE); C=8/15 (partiel); T=15/15 (Q1 + DOI + url); P=-0 (aucune); brut 57 → trust 57","digital, support, metacognitive, domain-specific, metacognition, self-explication",,2026-09-07,2026-09-07,agent_litteraire_v1,Mode analyse: heuristique; abstract_tronque: oui; maturite application: n/a
versteeg2021_what_were_you_thinking,Psychologie,Psychologie cognitive,Métacognition,What Were You Thinking? Medical Students' Metacognition and Perceptions of Self-Regulated Learning,"Que montre « What Were You Thinking? Medical Students' Metacognition and Perceptions of Self-Regulated Learning » concernant « métacognition et apprentissage autorégulé », et quel est le niveau de confiance de cette contribution ?",Marjolein Versteeg et al. 2021,"Marjolein Versteeg, Guusje Bressers, Marjo Wijnen-Meijer, Belinda W. C. Ommering, Arnout Jan de Beaufort, Paul Steendijk (2021). What Were You Thinking? Medical Students' Metacognition and Perceptions of Self-Regulated Learning. Teaching and Learning in Medicine. https://doi.org/10.1080/10401334.2021.1889559",10.1080/10401334.2021.1889559,2021,article_empirique,Teaching and Learning in Medicine,https://doi.org/10.1080/10401334.2021.1889559,faible_modere,OpenAlex+Crossref+doi.org,,,44,,,2026-09-07,,TRUE,TRUE,FALSE,FALSE,FALSE,11,,qualitatif,"Findings: Students differed in their use of metacognitive skills, with an overall focus on monitoring and, to a lesser extent, planning and evaluation.",Gap non identifiable dans l'abstract — lecture du texte intégral requise (mode LLM recommandé).,À confirmer sur texte intégral,37,modere,"M=11/30 (design qualitatif=4, N<30=4, validité faible=3); R=8/20 (citations 44 (10-50)=4, convergence article_empirique=4); O=5/20 (OA=5, data=FALSE, code=FALSE, prereg=FALSE); C=8/15 (partiel); T=15/15 (Q1 + DOI + url); P=-10 (petit échantillon N=11); brut 47 → trust 37","students, metacognitive, metacognition, learning, medical, their",,2026-09-07,2026-09-07,agent_litteraire_v1,Mode analyse: heuristique; abstract_tronque: non; maturite application: n/a
